Bus,busdistances
b2157,0.0
b2824,0.0
b1699,0.000255748683198
b1670,0.001255748683198
b1450,0.001511497366749
b2600,0.001717799281985
b2747,0.0018399764164159999
b2644,0.001858271197971
b2913,0.002069386340009
b1921,0.002717799281985
b850,0.0027847193484751
b1250,0.002839976416416
b1898,0.0028582711979709997
b2094,0.0029068964829061
b3037,0.0037847193484751
b1477,0.0039068964829061005
b2140,0.0091523939033651
b373,0.0302767279928061
b1117,0.0335086307125561
b485,0.0425098092264651
b1816,0.0550252588523651
b2813,0.062071781273406096
b3231,0.1044788207907561
b1683,0.13551469868595611
b3151,0.1546477699891561
b389,0.1609056889872961
b2594,0.1930979492482561
