Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"B2157", 11, 1,    6350.85,  -30.0,         1, 2,    6350.85, -150.0,         1, 3,    6350.85,   90.0,         1, 0, 0, 0, 0
"B1670", 0.433, 1,    249.956,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.974,  120.0,   0.99993, 4,    1.18977,  -25.4, 0.0047592
"B1450", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.974,  120.0,   0.99993, 4,    1.18989,  -25.4, 0.0047597
"B3151", 0.433, 1,    249.774,    0.0,   0.99912, 2,     249.92, -120.0,   0.99971, 3,    249.972,  120.0,   0.99992, 4,    1.33136,  -27.3, 0.0053256
"B389", 0.433, 1,    249.774,    0.0,   0.99912, 2,     249.92, -120.0,   0.99971, 3,    249.972,  120.0,   0.99992, 4,    1.33136,  -27.3, 0.0053256
"B2140", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.958,  120.0,   0.99986, 4,    1.17386,  -25.2, 0.0046956
"B485", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.958,  120.0,   0.99986, 4,    1.17386,  -25.2, 0.0046956
"B2747", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.974,  120.0,   0.99993, 4,    1.19023,  -25.4, 0.0047611
"B2594", 0.433, 1,     249.54,    0.0,   0.99819, 2,    249.928, -120.0,   0.99974, 3,    249.972,  120.0,   0.99992, 4,    1.57005,  -26.6, 0.0062804
"B2824", 0.433, 1,    249.968,    0.0,    0.9999, 2,     249.98, -120.0,   0.99995, 3,     249.98,  120.0,   0.99995, 4,    1.18569,  -25.6, 0.0047429
"B1699", 0.433, 1,    249.968,    0.0,    0.9999, 2,     249.98, -120.0,   0.99995, 3,     249.98,  120.0,   0.99995, 4,    1.18581,  -25.6, 0.0047434
"B2913", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.974,  120.0,   0.99993, 4,    1.18989,  -25.4, 0.0047597
"B373", 0.433, 1,    249.884,    0.0,   0.99957, 2,    249.952, -120.0,   0.99984, 3,    249.974,  120.0,   0.99992, 4,    1.24638,  -25.7, 0.0049857
"B1117", 0.433, 1,    249.881,    0.0,   0.99955, 2,    249.951, -120.0,   0.99983, 3,    249.974,  120.0,   0.99992, 4,    1.24858,  -25.8, 0.0049945
"B2600", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.974,  120.0,   0.99993, 4,    1.18977,  -25.4, 0.0047592
"B3037", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.962,  120.0,   0.99988, 4,    1.17746,  -25.3,   0.00471
"B1816", 0.433, 1,    249.949,    0.0,   0.99983, 2,    249.975, -120.0,   0.99993, 3,    249.681,  120.0,   0.99875, 4,    1.03191,  -11.8, 0.0041278
"B1250", 0.433, 1,    249.943,    0.0,    0.9998, 2,    249.968, -120.0,    0.9999, 3,    249.974,  120.0,   0.99993, 4,    1.20033,  -25.3, 0.0048015
"B2094", 0.433, 1,    249.943,    0.0,    0.9998, 2,    249.968, -120.0,    0.9999, 3,    249.974,  120.0,   0.99993, 4,     1.2004,  -25.3, 0.0048017
"B1683", 0.433, 1,    249.815,    0.0,   0.99929, 2,    249.726, -120.0,   0.99893, 3,    249.971,  120.0,   0.99991, 4,    1.22782,  -36.7, 0.0049114
"B3231", 0.433, 1,    249.817,    0.0,    0.9993, 2,     249.91, -120.0,   0.99967, 3,    249.972,  120.0,   0.99992, 4,    1.29776,  -27.9, 0.0051912
"B2813", 0.433, 1,    249.691,    0.0,   0.99879, 2,    249.959, -120.0,   0.99986, 3,    249.974,  120.0,   0.99992, 4,    1.44459,  -25.3, 0.0057785
"B1477", 0.433, 1,    249.931,    0.0,   0.99975, 2,    249.962, -120.0,   0.99988, 3,    249.974,  120.0,   0.99993, 4,     1.2105,  -25.2, 0.0048422
"B1921", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.968,  120.0,    0.9999, 4,    1.18363,  -25.4, 0.0047347
"B850", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.968,  120.0,    0.9999, 4,    1.18359,  -25.4, 0.0047345
"B2644", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.974,  120.0,   0.99993, 4,    1.18989,  -25.4, 0.0047597
"B1898", 0.433, 1,    249.955,    0.0,   0.99985, 2,    249.974, -120.0,   0.99993, 3,    249.974,  120.0,   0.99993, 4,    1.18989,  -25.4, 0.0047597
