Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"B2157", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 0, 0, 0, 0
"B1670", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B1450", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B3151", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B389", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B2140", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B485", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B2747", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B2594", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B2824", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B1699", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B2913", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B373", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B1117", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B2600", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B3037", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B1816", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B1250", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B2094", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B1683", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B3231", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B2813", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B1477", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B1921", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B850", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B2644", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
"B1898", 0.433, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0, 4,          0,    0.0,         0
